ENDW,REG,value
nsk,CHN,inf
nsk,XEA,inf
nsk,USA,inf
nsk,RUS,inf
nsk,EUR,inf
nsk,XOE,inf
nsk,OPC,inf
nsk,SAS,inf
nsk,XLC,inf
nsk,ROW,inf
skl,CHN,inf
skl,XEA,inf
skl,USA,inf
skl,RUS,inf
skl,EUR,inf
skl,XOE,inf
skl,OPC,inf
skl,SAS,inf
skl,XLC,inf
skl,ROW,inf
cap,CHN,inf
cap,XEA,inf
cap,USA,inf
cap,RUS,inf
cap,EUR,inf
cap,XOE,inf
cap,OPC,inf
cap,SAS,inf
cap,XLC,inf
cap,ROW,inf
nrs,CHN,0.001
nrs,XEA,0.001
nrs,USA,0.001
nrs,RUS,0.001
nrs,EUR,0.001
nrs,XOE,0.001
nrs,OPC,0.001
nrs,SAS,0.001
nrs,XLC,0.001
nrs,ROW,0.001
lnd,CHN,1.0
lnd,XEA,1.0
lnd,USA,1.0
lnd,RUS,1.0
lnd,EUR,1.0
lnd,XOE,1.0
lnd,OPC,1.0
lnd,SAS,1.0
lnd,XLC,1.0
lnd,ROW,1.0
