COMM,REG,value
FRS,CHN,766.8343148283276
FRS,XEA,820.7870877520273
FRS,USA,5112.291227338311
FRS,RUS,130.49572901871954
FRS,EUR,5235.041283172329
FRS,XOE,3309.95418548584
FRS,OPC,5775.651946363861
FRS,SAS,13736.25117487513
FRS,XLC,2590.410998858222
FRS,ROW,7267.344444781538
COA,CHN,3508.19813911694
COA,XEA,233.20677464580558
COA,RUS,174.04235614660152
COA,EUR,1130.990725482581
COA,XOE,81.68805754184723
COA,OPC,182.77213647994597
COA,SAS,102.20632769429159
COA,ROW,1056.9495856470517
OIL,XEA,44.378838527441665
GAS,CHN,3062.6112756813072
GAS,XEA,211.23263439441328
GAS,USA,18687.279309964866
GAS,RUS,10987.02554454234
GAS,EUR,17591.262159288806
GAS,XOE,5266.149048593041
GAS,OPC,4747.163225099045
GAS,SAS,3237.938785595595
GAS,XLC,964.7997558869296
GAS,ROW,9683.500309247635
P_C,CHN,61029.65360402635
P_C,XEA,35888.74790681579
P_C,USA,176514.72789767914
P_C,RUS,25536.111328125
P_C,EUR,146425.91729198565
P_C,XOE,87018.74173584761
P_C,OPC,63156.59392882835
P_C,SAS,39367.46478736092
P_C,XLC,24857.96797525908
P_C,ROW,32228.19187215923
AGR,CHN,143842.7761284301
AGR,XEA,74333.66855895262
AGR,USA,54391.10025318024
AGR,RUS,34576.8966936473
AGR,EUR,53247.547951086366
AGR,XOE,50096.04694395708
AGR,OPC,257556.55618374297
AGR,SAS,230919.6841587348
AGR,XLC,51919.238906076236
AGR,ROW,187909.48108367363
OXT,XEA,695.7140275985334
OXT,EUR,857.3440146857756
OXT,XOE,103.19363455474377
OXT,OPC,795.8769029909963
OXT,SAS,30.536567791665608
OXT,XLC,54.35737858173912
OXT,ROW,905.3175182418062
EIT,CHN,62434.171736325225
EIT,XEA,45965.9766499506
EIT,USA,264016.10798290285
EIT,RUS,13273.443852166305
EIT,EUR,288316.86076694
EIT,XOE,77084.13363528487
EIT,OPC,114498.66188207432
EIT,SAS,35970.294740325924
EIT,XLC,67461.45300147458
EIT,ROW,62700.661954238596
XMN,CHN,807367.830127631
XMN,XEA,374300.63917682006
XMN,USA,1093898.4434514248
XMN,RUS,154128.6069299497
XMN,EUR,1615661.8068378596
XMN,XOE,699893.4256617782
XMN,OPC,603929.5723332893
XMN,SAS,456724.08341594134
XMN,XLC,401192.69418253313
XMN,ROW,472435.5107793771
SRV,CHN,1184632.3459435238
SRV,XEA,851624.2293677864
SRV,USA,8194033.914304501
SRV,RUS,459727.5566229618
SRV,EUR,5672746.384107397
SRV,XOE,4188961.1297291173
SRV,OPC,1512183.6915082515
SRV,SAS,583759.8012288635
SRV,XLC,1157886.7123708255
SRV,ROW,875853.7693253348
ELY,CHN,39552.86837599764
ELY,XEA,25545.451886189327
ELY,USA,141377.51223455757
ELY,RUS,41238.77472786288
ELY,EUR,160189.02907559733
ELY,XOE,96944.12846852766
ELY,OPC,67928.73764977454
ELY,SAS,33835.58331738471
ELY,XLC,20636.762970653384
ELY,ROW,55163.49367056829
